row_names,document,topic,gamma
122,Cranium,11,0.16129032258064516
123,Cranium..The.Family.Fun.Game,11,0.16129032258064516
124,Cranium..Disney.Family.Edition,11,0.15873015873015872
125,Cranium.Brain.Breaks,11,0.15254237288135594
126,Cranium.Dark,11,0.15254237288135594
127,Scattergories,11,0.14754098360655737
128,Saucy.Charades,11,0.14285714285714285
129,Cranium.Turbo.Edition,11,0.14035087719298245
130,Yamodo.,11,0.14035087719298245
131,Stoner.Fluxx,12,0.14285714285714285
132,Monster.Fluxx,12,0.12727272727272726
133,Pirate.Fluxx,12,0.12280701754385964
134,Math.Fluxx,12,0.1111111111111111
135,Survival.of.the.Witless,12,0.10909090909090909
136,Star.Fluxx,12,0.10714285714285714
137,Oz.Fluxx,12,0.10714285714285714
138,Batman.Fluxx,12,0.10714285714285714
139,Lutèce,12,0.10714285714285714
140,Zombiaki,12,0.10526315789473684
141,Fluxx..The.Board.Game,12,0.10526315789473684
142,Elemental.Blast,12,0.10526315789473684
143,Memory,13,0.3473053892215569
144,Quartett,13,0.2661290322580645
145,Two.by.Two,13,0.21428571428571427
146,Have.You.Herd.,13,0.1935483870967742
147,Zooloretto,13,0.1875
148,Master.Fox,13,0.1875
149,Trouble,13,0.18571428571428572
150,Co.słychać.na.farmie.,13,0.18461538461538463
151,Life.Is.Life,13,0.18181818181818182
152,Picture.Dominoes,13,0.17777777777777778
153,Flußpiraten,14,0.10909090909090909
154,Sea.Rover,14,0.10714285714285714
155,The.Ships..Armada.Invincible,14,0.10526315789473684
156,Swords.and.Bagpipes,14,0.10526315789473684
157,Broadsides.and.Boarding.Parties,14,0.10344827586206896
158,Pirate.s.Cove,14,0.10344827586206896
159,Lost.Valley,14,0.10344827586206896
160,Der.schwarze.Pirat,14,0.10344827586206896
161,Lost.Worlds,14,0.1016949152542373
162,Great.War.at.Sea...Second.World.War.at.Sea..Cone.of.Fire,14,0.1016949152542373
163,Pirate.Dice..Voyage.on.the.Rolling.Seas,14,0.1016949152542373
164,Elder.Sign,15,0.15151515151515152
165,Shadow.of.the.Elder.Gods,15,0.13793103448275862
166,Witch.of.Salem,15,0.13559322033898305
167,Arkham.Horror.1,15,0.12121212121212122
168,Bram.Stoker.s.Dracula..The.Board.Game,15,0.1206896551724138
169,Walkers,15,0.1206896551724138
170,The.Walking.Dead.Board.Game..The.Best.Defense,15,0.1206896551724138
171,Munchkin..The.Nightmare.Before.Christmas,15,0.1206896551724138
172,Arkham.Horror..The.Card.Game,15,0.11940298507462686
173,Buffy.the.Vampire.Slayer..The.Board.Game,15,0.11864406779661017
174,Student.Bodies,15,0.11864406779661017
175,Orcs.Must.Die..The.Board.Game..Order.Edition,15,0.11864406779661017
176,Karmaka,16,0.13559322033898305
177,Daimyo.s.Fall,16,0.13114754098360656
178,Gingerdead.House,16,0.125
179,Paperback,16,0.12280701754385964
180,Carthage,16,0.12280701754385964
181,Foe.Hunters,16,0.1206896551724138
182,Nightfall..The.Coldest.War,16,0.11864406779661017
183,Avoid.the.Void,16,0.11864406779661017
184,The.Edge..Dawnfall,16,0.11764705882352941
185,Oppai.Go,16,0.11666666666666667
186,Bastogne..A.Desperate.Defense,17,0.1694915254237288
187,A.Victory.Lost,17,0.16666666666666666
188,Arnhem..The.Farthest.Bridge,17,0.15789473684210525
189,Race.for.Berlin..The.Final.Struggle,17,0.15517241379310345
190,X1940..What.If.Germany.Went.East.,17,0.15
