row_names,document,topic,gamma
38,Chicago.Express,4,0.1780821917808219
39,North.American.Rails,4,0.1724137931034483
40,X1837,4,0.1724137931034483
41,X18NL,4,0.1724137931034483
42,X1824,4,0.1724137931034483
43,X1850,4,0.1724137931034483
44,X18EC..USA.East.Coast,4,0.1724137931034483
45,X18TN,4,0.1724137931034483
46,Continental.Divide,4,0.1724137931034483
47,Rummikub,5,0.1475409836065573
48,Crazy.Eights,5,0.1463414634146341
49,Palace,5,0.1451612903225806
50,Skitgubbe,5,0.1403508771929824
51,Michigan.Rummy,5,0.1403508771929824
52,Mystery.Rummy..Jekyll...Hyde,5,0.1379310344827586
53,Spoons,5,0.1343283582089552
54,Haggis,5,0.1333333333333333
55,Dou.Dizhu,5,0.1311475409836065
56,Ladder.29,5,0.1272727272727272
57,Marston.Moor,6,0.1578947368421052
58,Somosierra.1808,6,0.1578947368421052
59,Tin.Soldiers.in.Action,6,0.1463414634146341
60,Wooden.Ships...Iron.Men,6,0.1451612903225806
61,Clash.for.a.Continent...Battles.of.the.American.Revolution.and.French...Indian.War,6,0.1451612903225806
62,X1809..Napoleon.s.Danube.Campaign,6,0.1428571428571428
63,Batailles.pour.le.Canada,6,0.1428571428571428
64,Marengo.1800,6,0.1428571428571428
65,Between.Two.Flags..Guadalajara.1937,6,0.1428571428571428
66,La.sombra.del.aguila,6,0.1428571428571428
67,Roliça.et.Vimeiro.1808,6,0.1428571428571428
68,Les.Batailles.de.la.Fronde,6,0.1428571428571428
69,Fuentes.de.Onoro.1811,6,0.1428571428571428
70,Austerlitz.1805..Partie.Nord,6,0.1428571428571428
71,Fear.God.and.Dread.Nought,7,0.1475409836065573
72,The.Korean.War.1,7,0.1403508771929824
73,Birds.of.Prey..Air.Combat.in.the.Jet.Age,7,0.1403508771929824
74,Cold.War.Commander,7,0.1403508771929824
75,The.Speed.of.Heat,7,0.1379310344827586
76,Bodycount..Wargames.Rules.for.the.Vietnam.War,7,0.1379310344827586
77,Leviathans,7,0.1379310344827586
78,Downtown..Air.War.Over.Hanoi..1965.1972,7,0.1333333333333333
79,Caesar.s.Gallic.War,7,0.1333333333333333
80,War.in.the.Falklands,7,0.125
81,Strategy.I,7,0.125
82,Beer.and.Pretzels.Skirmish..BAPS.,7,0.125
83,Storm.of.Steel,7,0.125
84,AirWar..C21..2nd.Edition.,7,0.125
85,Showtime.Hanoi,7,0.125
86,Philadelphia.in.a.Box,8,0.2
87,St..Louis.in.a.Box,8,0.2
88,Monopoly..Denver.Edition,8,0.2
89,New.York.in.a.Box,8,0.1967213114754098
90,Chicago.in.a.Box,8,0.1967213114754098
91,Monopoly..Philadelphia.Eagles,8,0.1935483870967742
92,Monopoly..Boston.Red.Sox.2004.World.Series.Champions,8,0.1904761904761904
93,Monopoly..Chicago.White.Sox.2005.World.Series.Champion,8,0.1904761904761904
94,Seattle.in.a.box,8,0.1833333333333333
95,Monopoly..Historic.Boston,8,0.1833333333333333
96,Monopoly..Pittsburgh,8,0.1833333333333333
97,Monopoly..Transformers,8,0.1833333333333333
98,Pick.a.Polar.Bear,9,0.1451612903225806
99,Pick.a.Dog,9,0.140625
100,Giggle.Wiggle,9,0.1403508771929824
101,Spot.it..Fire...Ice,9,0.135593220338983
102,Which.Witch.,9,0.1311475409836065
103,Ubongo,9,0.1311475409836065
104,Tricky.Fingers,9,0.1272727272727272
105,Wok...Roll,9,0.1272727272727272
106,Make..n..Break.Circus,9,0.1272727272727272
107,Quackshot,9,0.125
108,X.There.s.a..Fly.in.My.Soup,9,0.125
109,Make..n..Break.Junior,9,0.125
110,Marvel.Dice.Masters..Avengers.vs..X.Men,10,0.2063492063492063
111,Overpower,10,0.1833333333333333
112,DC.Comics.Dice.Masters..World.s.Finest,10,0.1774193548387097
113,Teenage.Mutant.Ninja.Turtles.Dice.Masters,10,0.1774193548387097
114,DC.Comics.Dice.Masters..Justice.League,10,0.1666666666666666
115,Yu.Gi.Oh..Dice.Masters,10,0.1666666666666666
116,DC.Comics.Dice.Masters..War.of.Light,10,0.1666666666666666
117,Marvel.Dice.Masters..Uncanny.X.Men,10,0.1639344262295081
118,Marvel.Dice.Masters..The.Amazing.Spider.Man,10,0.1639344262295081
119,DC.Comics.Dice.Masters..Green.Arrow.and.The.Flash,10,0.1639344262295081
120,Cranium.Cadoo,11,0.1935483870967742
121,Cranium.WOW,11,0.1774193548387097
122,Cranium,11,0.1612903225806451
123,Cranium..The.Family.Fun.Game,11,0.1612903225806451
124,Cranium..Disney.Family.Edition,11,0.1587301587301587
125,Cranium.Brain.Breaks,11,0.1525423728813559
126,Cranium.Dark,11,0.1525423728813559
127,Scattergories,11,0.1475409836065573
128,Saucy.Charades,11,0.1428571428571428
129,Cranium.Turbo.Edition,11,0.1403508771929824
130,Yamodo.,11,0.1403508771929824
131,Stoner.Fluxx,12,0.1428571428571428
132,Monster.Fluxx,12,0.1272727272727272
133,Pirate.Fluxx,12,0.1228070175438596
134,Math.Fluxx,12,0.1111111111111111
135,Survival.of.the.Witless,12,0.109090909090909
136,Star.Fluxx,12,0.1071428571428571
137,Oz.Fluxx,12,0.1071428571428571
138,Batman.Fluxx,12,0.1071428571428571
139,Lutèce,12,0.1071428571428571
140,Zombiaki,12,0.1052631578947368
141,Fluxx..The.Board.Game,12,0.1052631578947368
142,Elemental.Blast,12,0.1052631578947368
143,Memory,13,0.3473053892215569
144,Quartett,13,0.2661290322580645
145,Two.by.Two,13,0.2142857142857142
146,Have.You.Herd.,13,0.1935483870967742
147,Zooloretto,13,0.1875
148,Master.Fox,13,0.1875
149,Trouble,13,0.1857142857142857
150,Co.słychać.na.farmie.,13,0.1846153846153846
151,Life.Is.Life,13,0.1818181818181818
152,Picture.Dominoes,13,0.1777777777777777
153,Flußpiraten,14,0.109090909090909
154,Sea.Rover,14,0.1071428571428571
155,The.Ships..Armada.Invincible,14,0.1052631578947368
156,Swords.and.Bagpipes,14,0.1052631578947368
157,Broadsides.and.Boarding.Parties,14,0.1034482758620689
158,Pirate.s.Cove,14,0.1034482758620689
159,Lost.Valley,14,0.1034482758620689
160,Der.schwarze.Pirat,14,0.1034482758620689
161,Lost.Worlds,14,0.1016949152542373
162,Great.War.at.Sea...Second.World.War.at.Sea..Cone.of.Fire,14,0.1016949152542373
163,Pirate.Dice..Voyage.on.the.Rolling.Seas,14,0.1016949152542373
164,Elder.Sign,15,0.1515151515151515
165,Shadow.of.the.Elder.Gods,15,0.1379310344827586
166,Witch.of.Salem,15,0.135593220338983
167,Arkham.Horror.1,15,0.1212121212121212
